coin,metric,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08
crypto-com-chain,market_caps,4646022058.678673,4834724050.98953,5058073497.997318,5191827625.983835,5537474116.53399,5202879800.099063,4802500404.341549,4704991058.756958,4903500628.109503,4848632790.712704,5148797418.111182,5071337744.596981,5201419389.3009815,5005883975.866016,5425642490.742835,5816426677.457984,5546126014.592504,5581379400.268557,5515117172.396417,5445996298.346706,4706982372.159881,4726497835.108413,5008498147.402022,4977110825.857046,5019565507.18335,4771997896.681638,4910694026.484902,4828095902.912202,5299530856.982805,4699901869.245159,4460470622.072875,4440222847.568809,4257750183.2144814,4184527138.3688984,4398303190.5859585,4453166384.056592,4288437661.789623,4092765193.2516103,4028874896.5797834,4083989203.1431503,3928638804.399953,3837624455.290903,3844642069.825108,4080638965.979169,4089061943.9157195,4337235933.428052,4402524547.58131,4329320665.525569,4395723900.562019,3992157821.6677027
crypto-com-chain,prices,0.1712,0.1782,0.1865,0.1915,0.2041,0.1916,0.177,0.1733,0.1806,0.1786,0.1901,0.1869,0.1914,0.1846,0.2005,0.2148,0.2045,0.2066,0.203,0.2007,0.174,0.1744,0.1846,0.1834,0.185,0.1759,0.1808,0.1778,0.196,0.1737,0.1638,0.1635,0.1571,0.1538,0.1619,0.164,0.1579,0.1505,0.1483,0.1502,0.1447,0.1413,0.1414,0.1501,0.1504,0.1594,0.1617,0.1592,0.1618,0.14655
crypto-com-chain,total_volumes,39888502.50676837,185042966.00059912,88352977.93345942,166637294.96566263,149834639.4997449,78675486.45659769,65351941.62486174,56513290.30778876,51350622.83045534,38818440.77078007,49543077.87569493,46785661.84889901,76054324.51015002,91866092.35070157,295425775.7625752,240835077.0301038,116914260.49671978,61416923.24800144,48469266.65693885,40018962.940364346,96042430.53682329,98825877.5792903,54512051.87571067,112663260.48420349,52759777.77066138,42390263.26147738,33995028.94305915,47870565.76620378,171863240.25245103,97353803.55378671,76302936.16500963,71473589.27983749,42324906.69051052,29646285.668288916,36288244.89601374,37691762.61146643,26983649.081961483,28513998.71747008,27555824.393943246,25222148.769302845,21505453.094303526,50729649.44404795,31466710.21260079,28671506.911459297,33479771.78431404,41195343.35748164,39822603.03615938,26639136.40632132,36390389.514354244,34062076.48546414
dai,market_caps,3376010978.8413596,3438556734.820303,3451452534.37482,3400124441.0000634,3469157625.6058598,3477775716.6445575,3485410985.856953,3396720183.5431213,3503982243.39435,3520217279.3424873,3534205451.981123,3523677958.2757397,3544692847.5862327,3546851388.939578,3582017151.4805384,3558347386.9135327,3461847723.898301,3472907748.1749725,3455700133.2216163,3487756652.578505,3384536407.9587407,3426414239.4217596,3444999915.3958974,3440835512.2549744,3424497553.5249825,3448165577.7814054,3415302513.694524,3423332842.0663633,3464338921.447304,3446665610.1874013,3455411642.7874303,3398724661.0770726,3396132780.698285,3396976568.503918,3400177242.730799,3414243788.6050324,3418982643.047803,3457469225.7835126,3440662500.373567,3432946388.0192204,3322428058.53241,3404590433.5467715,3370638057.572003,3277266257.0939236,3392523454.324482,3419385269.4311066,3423364727.4195275,3428058438.7937975,3461030438.714374,3424129846.905883
dai,prices,0.9993,1.0008,1.0005,0.9997,1.0001,1.0012,0.9997,1.0002,0.9999,0.9999,1.0006,1.0003,0.9999,1.0005,1.0,0.9992,1.0013,1.0,0.9981,1.0045,0.9996,0.9994,0.9986,1.0001,1.0005,0.9998,0.9998,1.0001,0.9996,1.0003,0.9995,1.0009,1.0005,0.9999,1.0001,1.0008,1.0004,0.9999,1.0005,1.001,1.0005,1.0,1.0008,0.9995,1.0,0.9998,0.9998,0.9997,1.0008,0.9982
dai,total_volumes,133623814.83446364,147003591.42138925,184201239.68887803,132737281.37004529,124847561.86847031,83697133.66673477,170445255.56366032,132878453.81135815,147997955.1662129,106902377.92470188,94895518.040119,70160225.27569155,66851493.948034346,178111483.05044827,171648531.52695838,167271842.72982922,178641193.29176813,198113433.091177,127812002.81233329,119303971.11117102,152319777.09890905,134164483.8139216,102795126.73328905,137228165.767414,86019901.02820069,112674709.762269,99735981.52769169,193834359.40332627,96941203.61310834,108260023.56684981,245314982.65492445,295789651.4162724,171789834.6890936,223733362.93944323,152939605.26880947,78983261.8176813,114037611.8147198,93510729.67594133,90967617.57615225,66404373.71750542,163121846.9748525,189313389.67815787,104006421.48125114,66376320.99846025,83667529.10200003,129045716.38219678,98372880.84063807,85864417.10290979,164709458.45090905,108705637.24031514
dogecoin,market_caps,57498282424.86561,55653383515.17941,56919881492.936646,60319726909.20217,63045394020.14091,63176287457.58791,57583371937.660904,56535824119.87761,59099452113.78289,59119897219.069695,62510376387.89632,62045544716.78655,64771023380.96672,62337140722.912895,60140826094.70261,63106207194.10425,63027229179.29723,64021771536.23062,66813977851.84679,68588817015.837105,60872744858.539894,57829765508.83525,60886421741.99155,59656770432.96594,59931887272.17139,58562956775.225395,60052338854.39929,59245588478.23221,57984199496.775955,52715240064.040115,46669847342.85825,46702363167.98426,47111814565.02001,46032119811.56861,47643896689.916985,49592447998.15382,49291654806.78467,45948623941.807014,45826831934.35086,47721013739.71598,46402338136.0668,46131966592.51409,46574952049.62729,47730291433.99268,49968934585.85704,55949132979.78311,58179171592.107506,56436326713.22052,57165460311.38431,50497757350.69658
dogecoin,prices,0.3916,0.3788,0.3875,0.4107,0.4296,0.4299,0.3928,0.3857,0.4021,0.4022,0.4259,0.4219,0.4411,0.4241,0.4091,0.4294,0.4291,0.4357,0.4542,0.4665,0.414,0.3934,0.4139,0.4061,0.4076,0.3978,0.4072,0.4023,0.3937,0.3582,0.3162,0.3174,0.3204,0.3119,0.3234,0.3373,0.3345,0.3119,0.3112,0.3238,0.315,0.3134,0.3162,0.3241,0.339,0.3792,0.3947,0.3827,0.3878,0.3423
dogecoin,total_volumes,15683020455.352236,9823247879.4612,9437714466.947334,15763705369.107473,24615656526.251476,14194998723.10986,10991675836.364794,10352541749.38322,7575329620.039413,6881415591.797313,7204905118.668185,6694741285.598611,8422395747.703863,14905269533.2319,8839146109.799376,9655017662.13735,18019186820.61109,7529153953.033535,8438594527.802239,10403917176.241884,14335180806.342701,13688198758.325867,7787776853.752998,6855176846.684583,4421977875.552173,3714436683.163177,3168913334.077235,4670645497.325498,3654751097.510298,6424342443.584895,10299588179.47391,11908085963.040106,6978901591.406554,4326157081.905719,4612068974.597669,3228261462.9296412,2604485058.90388,2625101365.575846,2293373604.8945475,1538666440.0007308,1870842483.4356143,2707904119.2033954,2514890508.073105,1620382475.4153996,3606534898.0570397,5419307373.054088,4943690690.039445,2911300930.2606125,3301153541.1172915,4974379286.83724
ethena-usde,market_caps,3460176755.089487,3559402347.4303865,3676658883.1785398,3794915654.897822,3820117702.983246,3870291456.998816,3889924931.596054,4024045673.365865,4082790021.081249,4122379078.0518794,4361357822.175323,4438509742.885786,4472945810.867963,4607954443.3171835,4812424815.97574,4874570138.647883,5206159854.38691,5235655708.610347,5262730266.276174,5510918160.211911,5534447696.120221,5562680968.313308,5632825006.380772,5724821023.767689,5801003776.8174095,5822963527.87393,5869583078.316979,5929132185.064065,5957038579.964785,5991808310.473673,6000379050.125803,5922807636.255814,5927992954.8929615,5918635958.874771,5916740216.749997,5913917302.457115,5914740324.779312,5913891697.901199,5903691064.555224,5891540163.141074,5880302964.308306,5866890556.482026,5865836460.521945,5858314599.762548,5859156472.091781,5852804722.145583,5838403348.764537,5825357887.913644,5821741439.296407,5800945907.086821
ethena-usde,prices,1.0021,1.0027,1.0026,1.0023,1.0024,1.0031,1.0014,1.0006,1.0011,1.0009,1.0017,1.0012,1.0014,1.002,1.0023,1.0024,1.0039,1.0027,1.0017,1.0034,1.0012,1.0016,1.0012,1.0014,1.0011,1.0008,1.0009,1.002,1.0007,1.0003,0.999,0.9999,1.0004,0.9989,0.9988,0.9994,1.0,0.9979,0.9981,0.9969,0.9977,0.9975,0.9982,0.9971,0.9974,0.9981,0.9988,0.9983,0.9994,0.9983
ethena-usde,total_volumes,313494487.90587395,252511166.10478425,251699744.3795608,243770054.9530259,121590266.13770807,153432525.75103793,122451232.68824935,231771576.98420566,182281030.11218837,138695351.7787417,382142462.6828517,270908559.9492393,166542650.1900912,318346125.6939399,258159458.36229953,256806771.9552629,302895328.1436854,204063104.90666175,143256769.66507813,161187173.92382497,188432001.57987654,118246669.52240881,167405228.0054161,180703646.63729534,201785060.72899666,111560744.88419537,140477189.96237206,145600731.2252438,90935119.23867206,164382826.69961837,212079623.40714172,288454439.97084343,71297993.33800213,74216181.02833042,127806008.86473946,103284220.37233934,36873049.26793265,62753844.05119303,91004560.56606665,65122123.18799016,93129917.23400588,85913353.19852367,86799390.97149147,31063083.16472362,92045750.0230452,103214489.45426844,123656570.34089518,92525233.64863299,46113245.06153624,115663909.11096925
ethereum,market_caps,374925759373.2606,370266265216.9245,405284044226.11957,400787854559.3274,408448492183.1955,405718851021.4928,411314588853.17755,400706261382.18384,441632729137.7082,431207272220.64014,433361301691.3607,446851521665.9131,446664514864.58777,438825980701.30023,436691206026.36835,462490222624.56714,457067221118.4413,483422504163.839,481889176555.6843,483642898147.5037,446571271919.9886,436749626813.98615,461075934206.2153,466883095805.38696,470469907671.53613,465713274663.6432,477323245356.1555,480940541314.61334,467508439297.98755,436893612673.4018,413858693686.69867,417562064054.3703,401314595520.45166,394984656581.5222,411423031050.5532,420708095541.6798,421029544401.6013,401038436756.22626,400705550098.4306,409451576910.996,404459649875.75726,404631151447.3196,401972899891.29846,403374380145.697,415300548992.1061,434290507752.4077,441117087325.0027,438092711283.22925,444015369643.70074,403432463860.0187
ethereum,prices,3112.9098,3075.1939,3365.937,3327.7572,3394.037,3368.7028,3417.2912,3325.6365,3666.1885,3579.2408,3598.1933,3709.9094,3708.8072,3643.8554,3625.7105,3839.4435,3796.8689,4013.7261,4000.9921,4015.782,3713.3139,3626.5886,3828.1076,3878.85,3907.4297,3866.9958,3961.3155,3992.8572,3879.4062,3628.2625,3434.6755,3468.6589,3337.5972,3275.8894,3414.6414,3497.5553,3494.5109,3327.7898,3328.6112,3397.8341,3357.3307,3359.5139,3336.6175,3348.9672,3448.1404,3604.2914,3660.378,3635.855,3687.1447,3347.11795
ethereum,total_volumes,29767245881.040333,29508936260.346874,55714132904.97961,36536922518.79305,42885423857.47691,30123422893.99126,53625394443.87371,41896722105.13149,48465294233.32744,33082767875.13153,28800628431.21762,31961998508.230377,29705280034.459038,49031522663.40944,39557549415.34987,59744855714.19937,64995601294.502495,55954471926.67034,21959792763.543846,20728146237.12733,59141397866.09827,63643513993.15369,38471623681.40909,47474608675.336655,36218321642.49857,28647722345.409325,24816850994.80954,50679799770.94302,32823036037.584606,50734709374.83128,64452959600.863884,72936574193.4554,32479699770.041058,25811397925.979923,35528067791.09896,24085249644.32143,17503804977.00058,21239977785.94795,24582312087.174118,13861298668.649797,11315432322.371536,27664137021.813133,21466394178.61746,13440599794.35101,22683249623.05199,22019312215.306797,15951962220.78043,12542101206.558632,24440100572.59286,32163605932.905037
ethereum-classic,market_caps,3913022557.545983,3808157099.2926,4101706672.5722795,4238491680.947672,4416350741.969278,4325719323.269915,4452624987.941035,4241324050.041596,4943290526.612195,4784852941.612909,4778296707.136787,4900888463.269844,4968980582.37297,5060755061.072825,5230147308.344441,5631115042.427527,5349164520.987784,5775498782.33646,5593686038.544473,5572062784.488985,4707225756.338795,4526335161.922984,5021194345.65055,5058899038.691877,5083207613.730892,4880223863.505507,5066975107.048737,4993914616.169042,4853636690.799501,4416649013.191287,4045574104.3147087,4111908644.930238,3898547312.0257688,3903445695.6183553,4117985079.8398876,4197031887.7296934,4097598381.405362,3879252755.598503,3886989242.6237435,3984524827.6969085,3836249404.433578,3810603234.236047,3770234261.0468454,3864940488.3555827,4038185712.8476605,4268212949.918758,4270442894.2422247,4225317514.382014,4298357037.946278,3792164503.2978854
ethereum-classic,prices,26.1538,25.4098,27.417,28.3234,29.538,28.8211,29.7776,28.3372,33.0319,31.9625,32.0002,32.7187,33.1849,33.7891,34.8873,37.5904,35.7305,38.5219,37.3241,37.2385,31.4354,30.1887,33.4938,33.7881,33.9172,32.5477,33.7594,33.3144,32.3487,29.4837,26.8993,27.4077,26.0192,25.9569,27.442,27.9997,27.2981,25.8203,25.9204,26.5321,25.5501,25.39,25.1064,25.7137,26.8789,28.4234,28.4279,28.1244,28.6197,25.23625
ethereum-classic,total_volumes,239643523.5938095,280166087.33161414,852717537.3947021,593159850.2183083,970401130.0584645,682089460.305417,1064686176.1905226,561060993.1689632,998544557.6762229,1034463269.1344768,324718795.34882325,865208521.6489862,341465953.9345068,1195438209.4523096,1059387362.4018731,1653327530.936609,1010994225.9973397,1061858751.9566381,426560222.5974702,318882469.948145,968372561.7170112,915030472.170911,798966521.1694976,801448829.5866773,555636274.7891454,338502646.34355974,364865511.98634183,660610300.9101743,326785603.5534057,499956497.0824646,563345786.8159206,598467829.3167205,284292808.12044024,206217450.6085309,223489956.50417355,212783834.96789235,161645701.6535196,183171531.8101394,163621976.46292713,107901463.44209474,117222602.08960663,160027461.97341564,140128136.60012707,163444624.3139476,195066761.12247166,218018654.37599167,202239278.6172914,152212668.26708978,203037856.0471277,227655163.40722162
fetch-ai,market_caps,3382727659.029566,3235880450.0453973,3333207717.6470256,3332808948.816554,3711450965.710807,3994960179.6021132,3729593435.5683002,3585888953.1714787,3938834020.6163564,4408370408.068512,4500293951.054851,4951163783.032225,4792486218.09529,5056759848.246937,5019994086.649495,4867965890.224896,5110236524.543323,5559870111.246789,5418561734.812681,5392967476.0109825,4480093040.773994,4394241305.286342,4735842807.255325,4654669858.550168,4678994692.731593,4517550739.53888,4726889647.636874,4479645750.001094,4196208663.0836444,3748208699.739078,3438752106.8260803,3595682694.234626,3295172830.172262,3276355288.07372,3577482441.8168697,3638438651.7174416,3510700759.1876063,3297165685.5528235,3419996654.965391,3557871449.163594,3385168577.543641,3351473057.736883,3315926892.8893995,3426003534.210879,3605609713.207218,3904179998.6613646,3890211605.6983004,4201449692.6829348,4092463683.532756,3565838654.2368126
fetch-ai,prices,1.2958,1.2387,1.2771,1.2791,1.4226,1.5304,1.4284,1.3734,1.5095,1.6883,1.7252,1.9026,1.8364,1.9422,1.9265,1.8654,1.958,2.1302,2.0721,2.0663,1.7168,1.6858,1.8148,1.7844,1.7927,1.7305,1.8106,1.7161,1.6076,1.442,1.313,1.3774,1.2655,1.2521,1.3701,1.3968,1.3469,1.2633,1.3114,1.3621,1.2968,1.2852,1.2709,1.3132,1.3815,1.4957,1.4897,1.6095,1.5699,1.3637
fetch-ai,total_volumes,363121859.91417235,415094009.01323587,511408843.2708929,492710705.0489223,1064176065.8471532,1164821336.2202866,922240993.1537762,666547494.3165834,670503376.9416837,1309656385.3538647,886269484.0232797,1482877069.312541,731075648.6079271,1034846200.8744434,1157036352.2418432,1036227467.3529111,1385342564.3869514,1332003838.6267571,500747370.087225,456117471.46714014,1065114472.743998,1025317728.2413464,634781577.438578,617144611.2544054,427066670.46699154,390303420.73899716,397228019.05444425,511855751.4103851,433477088.1171511,571307613.2028832,783104121.2100061,717044786.3528161,414626342.27620715,324197700.58408785,443916980.4337825,368189384.1749258,251869940.6328151,257209733.296611,325052123.1811062,245997531.35780075,217095608.49597356,310364469.69601613,257002067.6249804,219965288.31707743,335125897.5533711,378156449.44086945,256689548.12748262,380628764.22673607,425295037.3615129,408486164.4200898
hedera-hashgraph,market_caps,5040536998.284695,4622186759.499016,4831384327.21995,5622604390.2529335,5889930083.005451,5626457993.168741,5139216100.8883,5300397455.702319,5418833428.045591,5550978328.914299,6933544821.429475,6458357635.932893,8030988431.627354,11904259058.285442,12178495335.774158,10911711028.970915,11033729042.295017,14108096934.29104,12654548573.188911,12663272031.446917,10769744844.879627,10968473220.356607,11441557217.092463,11153012879.26616,12008494054.387278,11243251726.218239,11319752327.664137,10812229593.832668,10852052012.045624,10421267145.813143,10351001315.965902,10312085340.664288,9679117524.84751,10171709942.706524,11138403073.580853,12689592953.212772,11992325229.62344,10910710692.969143,10546076952.899172,11268188005.1355,10693744826.804823,10568775253.313765,10279821933.58234,11279048016.009916,11168332571.389874,11951759340.468224,11720729907.920094,11532145781.342068,11773407475.266336,10831100750.140522
hedera-hashgraph,prices,0.1337,0.1224,0.1266,0.147,0.1544,0.1473,0.1347,0.1388,0.1419,0.1451,0.1806,0.169,0.2097,0.3102,0.3187,0.2865,0.2892,0.3694,0.3307,0.3313,0.2816,0.2879,0.2993,0.2917,0.3141,0.2942,0.2959,0.2827,0.2842,0.2731,0.2699,0.2699,0.2536,0.2652,0.2911,0.3318,0.3136,0.2847,0.276,0.2947,0.2795,0.2773,0.2685,0.2941,0.2919,0.3125,0.3063,0.3014,0.3079,0.28295
hedera-hashgraph,total_volumes,2044522255.1133995,968690318.5672928,1099214179.4618297,1630475905.9387252,1921486372.9829652,962812633.5099481,588348413.653215,543806170.476463,436061516.82054704,387517930.00113255,1456765861.140397,1048410226.7774792,2218938695.505119,6319122913.580338,7439143734.010873,3438420442.98299,3131940482.2853923,3402282084.5983787,2603110256.067974,1441595737.503309,1974862835.7608073,2690501161.8607903,1681426273.793198,1596369429.8141918,1796518366.196272,917155501.1448736,709643882.6064204,937043116.1608529,1047211000.5825504,1864747666.5688314,1824527295.116592,1967691713.9097247,984992093.2239479,872526801.3385632,1070029751.5721836,1743823768.3156483,973551813.9632026,789667108.8017625,753115374.8341856,725047669.478578,584698645.2989699,711572953.6779847,433593518.37717664,861395311.8233802,728563253.2291886,1059606159.7250061,659799928.3018606,530808887.51394874,716499424.4898412,874230352.8798084
hyperliquid,market_caps,,,,,,,,,,2173806562.4696655,2173806562.4696655,2886084649.1188464,3158260665.6317434,2729975838.5798764,3730202980.6599746,3650936816.9844956,4200575474.3698063,4615457707.046195,4724718267.26258,4731615499.018337,4468347257.659359,4634300467.501319,5396583949.176273,6115803355.084299,6490275582.657569,8109348047.466743,8029279711.218239,9175188173.30223,8551270284.749947,7696140208.241728,8360684632.158544,10001580339.632174,10813688145.447886,9426569751.713112,9511600140.877136,9953518995.125809,8996747295.622519,8953970195.781223,9046492812.613054,9738105193.22308,9189607535.170898,8983173525.355417,7875987022.647723,8693794980.406246,7729346457.312921,8100007848.075042,8304082393.71853,8142859906.100961,8475479909.359288,7460062078.009954
hyperliquid,prices,,,,,,,,,,6.5127,6.5127,8.6446,9.4592,8.4302,11.1686,10.9274,12.5926,13.8248,14.1483,14.1886,13.3908,13.8785,16.1603,18.3209,19.4454,24.279,24.0678,27.4513,25.5905,23.1668,25.0415,29.9605,32.4067,28.2188,28.3124,29.8239,26.7883,26.8676,27.086,29.1523,27.6028,26.9196,24.1247,26.1942,23.1467,24.3557,24.8637,24.3823,25.3514,22.171599999999998
hyperliquid,total_volumes,,,,,,,,,,571054978.9056152,571054978.9056152,359092154.4383894,321680476.00677305,281173012.31597817,222527019.40944338,296923048.011427,266610976.36697313,178102706.70258743,158490524.7496711,119117878.63711073,235681437.49084866,186366878.51401043,174346680.7190888,250978998.95148337,180130571.20551145,349984547.21015304,379419833.5940492,355065778.340578,423557573.4351762,21476443.70794218,31290078.042403825,564870900.2180753,499981446.5609012,505311555.914646,673828370.6487273,393597313.3265297,35250235.5145414,322296149.05537236,227856208.0691344,173885217.5690188,144248943.2276687,193369011.3492814,21850372.300109155,179166476.19046482,211081781.47049454,228764706.55476388,122630938.01955464,101475459.5422009,17434105.047893472,102232160.59915552
internet-computer,market_caps,4338552287.198566,4208155649.837966,4386430307.953076,5332045765.285041,5401582860.783349,5547421585.583932,5470056084.591899,5283958277.046169,5555860624.295582,5496573069.426344,5731574564.890968,5924620705.768289,6096145125.762411,6524165949.483901,6973577823.492194,6979764242.808188,6807054437.895002,7286292438.132096,7006990749.397855,6962482665.105904,5700460022.455842,5607528377.968101,6257150970.8866625,6443149950.381636,6384833815.67949,6105222509.240652,6284386818.344133,6053966205.611158,5761352244.629846,5313225935.291525,4870340250.737199,5020563080.02528,4784649718.26529,4733764685.161409,5126979158.681707,5404341813.40927,5337206730.322562,4915356814.145653,4877513684.322641,5099289799.7251625,4857587378.188847,4792589062.986623,4722021306.716017,5007790650.92366,5109287501.757071,5898105212.593492,5892808817.275475,5808766924.690851,5821453727.30101,5226809845.728596
internet-computer,prices,9.1421,8.8671,9.2447,11.2437,11.388,11.6765,11.5286,11.1318,11.7132,11.5739,12.084,12.4822,12.8158,13.7324,14.7312,14.6963,14.3252,15.3139,14.7217,14.6663,11.9967,11.7971,13.147,13.5831,13.4337,12.841,13.2036,12.7044,12.0678,11.1252,10.1959,10.5324,10.0432,9.9034,10.7355,11.3278,11.1699,10.2723,10.2018,10.6619,10.1568,10.0255,9.8636,10.4716,10.6718,12.3232,12.3096,12.1194,12.172,10.912500000000001
internet-computer,total_volumes,192964619.64641386,219288231.68529254,263696769.780639,510478497.19637865,555910266.9029814,430995068.4873168,494670473.00633705,374192773.2051651,286138511.3412665,248562958.36680782,251287662.5269879,309335590.92726135,315033365.2449498,596633765.9965986,502671441.9318605,606833434.445134,581666001.7591758,452675196.3935687,317040435.230464,285270012.173933,598616413.8446704,450210124.3172306,391364246.96348584,439714365.1317829,314669783.6540558,208970238.89877132,263724175.25060126,313607433.629918,273186725.10192215,331040888.03830343,357561624.6316476,368482923.56987906,279877877.6742089,221308551.49217042,225780104.22351035,226828469.04768795,205043273.36442962,219576036.83382583,214107743.04085392,132390209.84410593,137921597.39824924,178923325.55452597,142303820.4917872,131686027.18869519,184708929.63812697,334040066.4354668,235404461.0543554,211913625.03317732,231898708.74522597,221804238.22274143
leo-token,market_caps,7369153387.688046,7742923237.931863,8027982104.638453,7810552171.560485,7942530899.1204815,7904557384.797889,7605841143.896194,7437755772.549852,7920077321.610066,7818602515.244862,7969754168.648049,8152259900.394031,7962264282.437176,8140942800.131018,8233589568.941833,8810848523.91756,8705907869.386848,8719793069.775978,8770683558.724249,8521017128.647628,8755378522.3513,8758175925.624613,8767782255.07793,8827903954.183659,8667767378.584698,8701178247.496864,8684293087.109783,8865300516.971506,8862019738.24635,8442780313.778113,8364813519.4840555,8652728934.097343,8635562607.09607,8604119454.282398,8634785506.750406,8747769065.314426,8787305504.424694,8441474622.736319,8506298782.351806,8556706074.1617565,8338636214.386343,8341904480.969341,8369667417.073561,8370203131.483992,8341053033.765208,8407139186.156674,8456624037.312594,8407289408.202505,8392229893.804978,8341255232.127291
leo-token,prices,7.9668,8.39,8.6808,8.4434,8.5905,8.5503,8.2278,8.0432,8.566,8.4507,8.6589,8.8172,8.6109,8.7897,8.9324,9.5282,9.4152,9.435,9.4861,9.2198,9.4808,9.4693,9.4835,9.5484,9.3783,9.4196,9.3901,9.5798,9.5829,9.0991,9.0628,9.3597,9.3472,9.3008,9.343,9.523,9.4864,9.1284,9.1924,9.2619,9.0278,9.0281,9.0477,9.0579,9.0228,9.1111,9.1408,9.0683,9.0896,9.00995
leo-token,total_volumes,2022853.2383069177,4153845.613385479,3418831.6264891922,3291317.1657480225,1722305.391788686,1880987.8716135563,1999571.5674746365,1396784.3131086077,2016528.452191943,1263078.4100124207,761171.0503572862,1438721.4120902785,2247151.1726032156,1701380.8087840732,1281509.345577914,2931321.5607385472,4088941.353989923,3088215.03890378,2346269.9711154974,3034355.843182476,2040441.850176266,3004666.072603497,3608291.224864887,939049.9835242787,2319434.4095487446,1031726.137464591,968623.1073328095,1852504.518596754,1020684.9945351694,1709665.174183032,1668366.713805826,1531609.2764031175,2449902.3888169425,855636.60568835,1696014.356653046,775837.2339130644,772862.9427599431,1398582.7956566073,605262.4267252436,854749.2013816945,934206.4296731933,1144451.1857140118,3525527.910877511,3574820.762799678,4403282.875370277,1159758.9632467558,2051143.3787882517,581814.957846405,753591.0107505873,2920372.466909387
litecoin,market_caps,6530930839.202585,6303764032.087366,6728538802.0838375,6909858487.719377,7464742198.418724,7311679066.453936,6945356277.948728,6975216287.735259,7324727134.531925,7205320617.954813,7792314949.679029,7738468480.133245,8986444359.206976,10102037754.45561,9961055040.83199,10050300872.897503,10281157751.320648,10244964126.65671,10064180238.108023,10196905834.741415,8321988565.547869,8244650951.103392,8859177413.725733,8967209755.024439,9318390713.69277,8889782498.875282,9157603106.91323,8915456070.457767,9344979503.82402,8203366608.494297,7546662560.05843,7626115263.915875,7615584438.302322,7502226134.522436,8005750889.41707,8159129490.286113,8248099589.008181,7699829577.502784,7557837477.48305,7582722102.629135,7410794630.986561,7466098918.490098,7749447261.566572,7884367228.433755,7934038594.696618,8495659263.974909,8388903522.145354,8685690456.397455,8589975268.316622,7694807575.421009
litecoin,prices,86.8346,83.7538,89.4814,91.9312,99.3383,97.1765,92.3184,92.7655,97.3386,95.7608,103.5848,102.823,119.5847,134.2091,132.1686,133.6974,136.5032,136.1082,133.6891,135.6458,110.7154,109.5278,117.4941,119.1417,123.8017,118.0965,121.4634,118.3624,124.0881,108.9753,99.9234,101.3271,101.2921,99.474,106.2998,108.3942,109.4677,102.0968,100.317,100.5971,98.3276,99.1833,103.0775,104.6169,105.2475,112.6654,111.2474,115.3412,113.9944,101.95965
litecoin,total_volumes,940649182.840408,924304441.2368785,1412930943.7451017,1190232161.1578104,2825510090.3929195,1383000916.1436107,1110761426.3300807,989201182.0040492,883950340.5449151,648937251.9164367,935585575.553091,853849658.1086667,2109552924.123943,5013236898.654988,2594607731.4640126,2168702077.5441194,3181235714.911254,1581587305.705372,1132133542.386161,947784186.1101075,2219981167.315386,2282997923.888873,1313954839.848714,1492089934.0807328,1257179200.9541228,880629958.4880161,852513221.2566409,1263967330.23694,1708707125.7267265,2009592904.2190387,1869546745.6738796,1533147680.709721,944110491.6550468,731286819.8941604,931460246.3563135,667223382.0445887,511432711.28802276,601234354.9666575,554995950.3887242,358525023.3534208,371855702.9892637,601697979.7009829,500789099.98986167,533964531.24691945,647203704.8570777,624337240.9559805,427383827.49548113,474454665.71484065,716365141.355269,760298560.9969225
mantle,market_caps,2478054639.2643085,2427193596.7112107,2680053488.840946,2904526464.3868694,2912909587.1592774,2880964311.061298,2817405609.4723673,2730654566.7761602,2953260470.043799,2924734500.004365,2954957803.993401,3054239243.61796,3131547473.0792246,3063162944.420857,3067324616.2659426,3541413752.5075946,3771597575.911814,3861061824.05873,3912811384.9152775,4228106398.5445614,3838141497.4640317,3991656584.455985,4568851239.738692,4269170399.5279593,4238375414.1104717,4151784066.319345,4180948658.243895,4086953043.3003626,3995872224.618567,3693202000.2925673,3954258082.2607555,4288366284.759198,3903385190.995964,3917250664.0978074,4064329416.325397,4189729457.7196035,4165746078.9682856,3955846452.108616,4009206348.758707,4071712361.7588253,4049012265.2432847,4053597700.1038756,4201136853.0142746,4217739863.8078594,4540720306.058008,4633456491.473891,4648554899.156607,4701496874.330325,4561212718.072161,4173806417.7553306
