coin,metric,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08
avalanche-2,prices,34.3294,33.6895,35.8356,43.0488,41.4443,42.089,41.4152,42.6509,43.9498,42.9057,45.0003,44.9709,45.2498,52.085,51.2225,52.7544,50.6219,52.6572,51.7575,54.1813,45.1887,44.5999,48.2534,52.9365,52.43,49.8908,51.0021,49.1375,47.8126,42.8308,39.0813,39.7817,37.3791,36.5191,39.0081,41.2485,40.2684,37.2715,36.4729,37.6629,35.8596,35.9055,35.6749,37.6279,39.2338,41.8191,42.6833,43.057,43.9953,38.07025
avalanche-2,total_volumes,685941712.0664718,814665617.5285561,1012956044.0893987,1877823786.3151948,2041229524.9585655,1418708573.0624447,2124646352.1976328,1524240543.441878,1239431258.7394493,738028198.5447319,720142029.9635361,806737860.1274527,779851783.7665108,3316658525.6651254,2142959427.2948246,1883588208.9386454,1550536730.4286213,1059219612.9895706,595705005.3976936,813766135.8161392,1822936716.113828,1490193817.8032703,863695776.059319,1840832995.7627828,959125518.5894885,766787795.0573944,810485140.807597,908109971.1811192,694641949.7424688,1085276379.2538953,1249004627.1934886,1223452752.2291224,610062418.624893,490425231.7415241,717211697.0500364,575992424.3426508,334649780.44913954,445525494.31015503,413702114.37543595,279301507.14420456,287337697.63248444,510154209.8900068,336545924.2327478,306625837.42126423,477726471.00947976,575540255.8566815,400210212.90735936,364122276.3020267,633072768.6596943,607980571.4548162
binancecoin,market_caps,89864910340.94922,88607714965.0514,90962065583.55013,92349194787.00644,95008979222.82204,96535188283.16571,92608753001.29962,89577669155.71219,94131145638.41046,95461592953.30748,95500304653.15181,95585516151.45093,95646063853.98654,94366844096.0861,108108300474.17479,107467583157.48167,104903980762.58746,106872608667.21408,109451466413.20235,108738492023.74458,100338665906.47128,98534549902.19533,103655308925.02591,102923886014.42325,105993649633.03232,104445915284.71416,105502278026.93062,105222651998.97409,104491787287.64561,100187667140.30516,97651283337.43567,98743426119.72449,96521740245.10835,94636666608.3006,101000768912.15712,101662325640.72516,102473517266.88693,100313525889.4936,100706722790.1643,105195880146.45,101318707630.7003,102466478284.721,102376145921.80865,102979866966.5999,102972434554.93243,103985181821.30656,104197156232.23538,103477999966.75745,106614621781.16783,101017349630.85959
binancecoin,prices,615.918,607.2954,623.5047,633.0203,651.5324,661.6867,635.2624,613.7254,645.1515,654.5913,654.7717,655.0341,655.7349,647.1199,740.0349,736.4427,719.7624,732.5424,750.2455,745.3758,688.0074,675.4214,710.69,705.679,726.7722,715.4486,722.5582,720.6829,715.652,687.6624,669.0229,677.8486,662.4249,648.5721,692.2861,697.9538,702.3466,687.5179,690.3639,720.5679,694.4827,703.1066,701.5723,705.813,705.8312,713.0476,714.0858,709.3018,730.7109,692.04385
binancecoin,total_volumes,1388983815.5660732,1559086629.2346592,2343280028.8742757,1846338179.2677584,3373812879.967069,2917371682.838013,2394918621.268695,2494275590.5107102,1940704254.0273583,2381977222.083153,1553941107.9797518,1682644261.813791,1465006765.1405237,2373999130.8716054,4567002669.157179,6355347042.361618,3821183229.5789404,2720943421.9763966,1748135790.7778006,1318662772.5807214,3134677046.188991,3017514510.6277456,1903416575.806963,1993906415.0291083,1900492715.31541,1302217718.8769124,1087890178.982156,1589415330.8598354,1610321650.477661,2203892490.9307804,2614960154.253572,2728589291.527378,1631846083.3851213,1137478924.2738469,1945323070.2555032,1163427672.65241,788266049.0921909,1081113208.9599752,1083410181.1553583,1060863183.0711349,760246771.2998646,994264720.2303599,1545176749.5279117,477140166.4226887,931592866.4969293,945606974.3138423,590551916.378533,434122074.033253,1171497671.843075,1352391149.9276671
bitcoin,market_caps,1825195454018.501,1862618759426.145,1948284556982.0486,1958091000957.8345,1931255637661.502,1939446484727.4285,1838788677873.8657,1819990514406.0881,1899088665519.225,1892297852304.72,1926826079390.2441,1910022814269.8855,1925808416477.5068,1896576914275.523,1900922167493.3643,1957276192604.2603,1920742551503.6094,1978389972043.7947,1974739091620.7542,2003238967638.8286,1926047690157.6282,1913115778728.2837,2001746436338.842,1979166149963.3093,2005406021235.8357,2007646386698.8667,2075487816560.1924,2097460193710.789,2100629850064.9119,1985284833093.572,1937022229972.2085,1932373308116.0107,1922768195068.165,1884599149192.4587,1874912975786.6604,1951173788529.116,1966481159354.1177,1894744251986.1084,1867708753554.924,1885556552231.4314,1854872605738.8086,1833188187477.531,1851839954625.13,1869193319140.2422,1917905016063.62,1942834829349.9563,1946611205641.351,1948339898718.8586,2024825178619.8228,1896896543010.5522
bitcoin,prices,92251.6524,94217.0223,98509.1186,98927.4949,97679.4638,98015.9355,93004.7009,91931.8308,95981.1806,95661.596,97453.2473,96513.1423,97311.7072,95833.1362,96031.631,98881.4695,97201.5004,99973.8515,99781.83,101235.3717,97353.947,96649.7145,101123.6181,100000.8084,101352.2297,101367.0106,104721.5015,106074.1072,106034.9134,100355.5761,97851.3538,97691.4343,97202.825,95094.2739,94644.9109,98695.714,99344.9542,95678.3124,94331.9473,95184.6195,93663.4475,92627.2821,93507.8587,94384.1761,96852.1468,98084.3428,98256.7388,98364.5895,102229.3945,95769.5753
bitcoin,total_volumes,80493234958.49161,80747272080.24826,118163852022.3175,85746174563.98602,47414200206.70341,50665680246.86775,89476321216.0935,97389239315.52954,81469353259.75,49067932024.40325,74670031635.5065,43580019720.720634,49147687432.565895,101019861361.49252,87935752287.975,98230784298.0459,190460293531.53802,115812632020.44765,61061136199.7846,62677764785.05408,146846843211.51685,125835977742.51114,118484957960.76833,100092043319.81221,78802903278.85962,57321924844.41535,70645074624.52869,115184737759.33566,93417826250.1972,113692025885.44745,100611554887.24123,112340864006.62827,53058382639.48845,44619017105.36954,64937790292.61125,49169088282.15742,33963749856.44743,45049342388.18843,41498540807.666954,22429850903.940086,24065314499.502274,57595164139.4709,45327464907.74362,23275007789.496334,45157338602.617516,35721645948.10051,20979035420.980793,20060293834.7155,46111387334.46171,59110744897.477844
bitcoin-cash,market_caps,8845617907.892294,8735223075.565254,9627446288.29037,9686850822.666986,10068690725.153652,10204007446.299637,9717469544.555498,9734707769.092964,10296978712.878792,10129033634.863487,10266851071.773897,10389846743.982006,10500184849.150673,10647526858.594847,11593616253.904491,11528189452.847847,11673275008.223892,12264076301.090391,12075357595.668613,12350039350.70906,10922896259.588898,10205555523.329544,10832586446.424305,10678626210.429502,10695418259.283596,10582005106.748003,10870113988.148594,10673996221.658922,10477271778.972542,9520713238.345701,8744199926.67462,8881369021.298168,8998694842.36117,8814088898.839512,9115171857.335241,9314559323.381357,9206101277.000273,8663286707.194036,8711821600.764914,8941384450.061823,8690019154.55634,8777211092.646673,8606386915.680756,8894711299.87634,9135698120.392765,9365231931.575329,9472041211.43292,9329016037.229757,9561355276.096079,8552605448.47891
bitcoin-cash,prices,446.9393,441.3914,486.7513,489.5076,509.1206,515.5115,491.6413,491.7437,520.0747,512.1386,518.7592,524.7138,531.0355,537.8146,583.1577,582.5641,590.0665,619.2987,609.613,624.7885,552.4453,515.4647,546.6773,539.3236,540.2756,533.9418,548.8401,538.6307,528.7705,480.7537,441.2778,449.0209,455.035,444.8286,460.108,470.9874,465.011,437.2629,439.8561,451.1369,438.7491,443.1485,434.2702,448.9757,461.1407,472.672,478.781,470.9613,482.5957,431.6267
